home_fps,total_qty_kg,num_cards,avg_per_card
13192,15.338996627622306,1,15.338996627622306
4067,15.325977511840543,1,15.325977511840543
740,15.293086564860683,1,15.293086564860683
14538,15.289878887242471,3,5.09662629574749
19568,15.281241607135668,2,7.640620803567834
26440,15.280393018759048,1,15.280393018759048
14617,15.23489299857037,1,15.23489299857037
24530,15.134462518943428,1,15.134462518943428
25084,15.130855817806006,2,7.565427908903003
1476,15.130855817806006,1,15.130855817806006
24380,15.12781363015681,1,15.12781363015681
14545,15.086043179050483,3,5.028681059683494
15257,15.061300006772573,3,5.020433335590858
41378,15.051486926663069,1,15.051486926663069
41582,15.045355297592351,1,15.045355297592351
22367,15.025673461857536,1,15.025673461857536
24947,15.021249959091088,2,7.510624979545544
6065,15.018501946401894,1,15.018501946401894
15044,15.004829241175992,1,15.004829241175992
6196,14.980685231128389,1,14.980685231128389
914,14.968871545031154,4,3.7422178862577886
41209,14.967423469518192,1,14.967423469518192
6300,14.966339143416745,1,14.966339143416745
2492,14.956210604008321,4,3.7390526510020803
25320,14.949041412998302,1,14.949041412998302
20716,14.933527653675666,1,14.933527653675666
5686,14.921779120280917,1,14.921779120280917
40306,14.921779120280917,1,14.921779120280917
3828,14.92076581432072,1,14.92076581432072
7865,14.92026589206547,1,14.92026589206547
3785,14.918524541479329,1,14.918524541479329
8547,14.918524541479329,1,14.918524541479329
3830,14.912175319929384,2,7.456087659964692
10865,14.9105621822872,1,14.9105621822872
41652,14.909017280925973,1,14.909017280925973
22770,14.909017280925973,1,14.909017280925973
25864,14.908543736643754,1,14.908543736643754
21495,14.90677600808458,1,14.90677600808458
12960,14.905262779869132,1,14.905262779869132
22579,14.902543196264235,3,4.967514398754745
13042,14.901334222958994,2,7.450667111479497
2551,14.895357718714257,1,14.895357718714257
3946,14.890331475149628,1,14.890331475149628
41291,14.870228156483703,1,14.870228156483703
27756,14.852428365809054,1,14.852428365809054
39344,14.847345974564288,1,14.847345974564288
12535,14.84458145661613,1,14.84458145661613
22589,14.840679832414304,1,14.840679832414304
41220,14.823916930174388,1,14.823916930174388
14843,14.822278057381515,1,14.822278057381515
15280,14.806463125531428,1,14.806463125531428
869,14.801258069102959,8,1.8501572586378698
15213,14.797721649792662,2,7.398860824896331
15306,14.795058756115235,1,14.795058756115235
